Manufacturer,PartNum,Interface,Chipset,MemorySize,MemoryType,CoreClock,TDP,Fan,SLISupport,CrossFireSupport,Length,SupportsG-Sync,DVI-DDual-Link,DVI-IDual-Link,DisplayPort,HDMI
EVGA,06G-P4-4990-KR,PCI-Express x16,GeForce GTX 980 Ti,6GB,GDDR5,1.0GHz,250 Watts,Yes,4-way SLI,No,10.51,Yes,1,1,3,1
EVGA,04G-P4-3962-KR,PCI-Express x16,GeForce GTX 960,4GB,GDDR5,1.22Ghz,120 Watts,Yes,Yes,No,6.81,Yes,1,1,1,1
EVGA,04G-P4-1970-KR,PCI-Express x16,GeForce GTX 970,4GB,GDDR5,1.05Ghz,145 Watts,Yes,3-way SLI,No,9.49,Yes,1,1,1,1
MSI,GTX 970 GAMING 4G,PCI-Express x16,GeForce GTX 970,4GB,GDDR5,1.14Ghz,145 Watts,Yes,3-way SLI,No,10.59,Yes,1,1,1,1
MSI,R9 390 GAMING 8G,PCI-Express x16,Radeon R9 390,8GB,GDDR5,1.0GHz,275 Watts,Yes,No,4-way CrossFire,10.91,Yes,2,2,1,1
EVGA,02G-P4-2966-KR,PCI-Express x16,GeForce GTX 960,2GB,GDDR5,1.28Ghz,120 Watts,Yes,Yes,No,10.12,Yes,1,1,3,1
Asus,STRIXGTX970DC2OC4GD5,PCI-Express x16,GeForce GTX 970,4GB,GDDR5,1.11Ghz,145 Watts,Yes,3-way SLI,No,11.02,Yes,1,1,1,1
MSI,GTX 980 Ti Gaming 6G,PCI-Express x16,GeForce GTX 980 Ti,6GB,GDDR5,1.18Ghz,250 Watts,Yes,4-way SLI,No,11.10,Yes,1,1,3,1
EVGA,02G-P4-3753-KR,PCI-Express x16,GeForce GTX 750 Ti,2GB,GDDR5,1.18Ghz,60 Watts,Yes,No,No,6.69,Yes,1,1,1,1
EVGA,04G-P4-2974-KR,PCI-Express x16,GeForce GTX 970,4GB,GDDR5,1.17Ghz,145 Watts,Yes,3-way SLI,No,9.49,Yes,1,1,1,1
EVGA,04G-P4-2983-KR,PCI-Express x16,GeForce GTX 980,4GB,GDDR5,1.27Ghz,165 Watts,Yes,4-way SLI,No,10.51,Yes,1,1,3,1
MSI,R9 380 GAMING 4G,PCI-Express x16,Radeon R9 380,4GB,GDDR5,970MHz,190 Watts,Yes,No,Yes,10.55,Yes,1,1,1,1
EVGA,06G-P4-4995-KR,PCI-Express x16,GeForce GTX 980 Ti,6GB,GDDR5,1.10Ghz,250 Watts,Yes,4-way SLI,No,10.51,Yes,1,1,3,1
MSI,GTX 960 GAMING 4G,PCI-Express x16,GeForce GTX 960,4GB,GDDR5,1.24Ghz,120 Watts,Yes,Yes,No,10.51,Yes,1,1,3,1
EVGA,04G-P4-3975-KR,PCI-Express x16,GeForce GTX 970,4GB,GDDR5,1.19Ghz,145 Watts,Yes,3-way SLI,No,10.12,Yes,1,1,3,1
EVGA,12G-P4-2992-KR,PCI-Express x16,GeForce GTX Titan X,12GB,GDDR5,1.13Ghz,250 Watts,Yes,4-way SLI,No,10.51,Yes,1,1,3,1
Asus,STRIX-GTX960-DC2OC-4GD5,PCI-Express x16,GeForce GTX 960,4GB,GDDR5,1.25Ghz,120 Watts,Yes,Yes,No,8.50,Yes,1,1,3,1
EVGA,02G-P4-2956-KR,PCI-Express x16,GeForce GTX 950,2GB,GDDR5,1.17Ghz,90 Watts,Yes,Yes,No,10.12,Yes,1,1,3,1
EVGA,04G-P4-3967-KR,PCI-Express x16,GeForce GTX 960,4GB,GDDR5,1.28Ghz,120 Watts,Yes,Yes,No,10.12,Yes,1,1,3,1
MSI,GTX 980 GAMING 4G,PCI-Express x16,GeForce GTX 980,4GB,GDDR5,1.19Ghz,165 Watts,Yes,4-way SLI,No,10.98,Yes,1,1,3,1
Gigabyte,GV-N98TG1 GAMING-6GD,PCI-Express x16,GeForce GTX 980 Ti,6GB,GDDR5,1.19Ghz,250 Watts,Yes,4-way SLI,No,11.61,Yes,1,1,3,1
Gigabyte,GV-N970G1 GAMING-4GD,PCI-Express x16,GeForce GTX 970,4GB,GDDR5,1.18Ghz,145 Watts,Yes,3-way SLI,No,12.28,Yes,1,1,3,1
EVGA,02G-P4-3757-KR,PCI-Express x16,GeForce GTX 750 Ti,2GB,GDDR5,1.19Ghz,60 Watts,Yes,No,No,9.49,Yes,1,1,1,1
