Manufacturer,Model,PartNum
Cooler Master,Hyper 212 EVO,RR-212E-20PK-R2
Cooler Master,Hyper TX3,RR-910-HTX3-G1
Noctua,NH-D14,NH-D14
Noctua,NH-D15,NH-D15
CRYORIG,H7,H7
Cooler Master,Hyper 212 Plus,RR-B10-212P-G1
Noctua,NH-L9i,NH-L9i
be quiet!,Dark Rock Pro 3,BK019
Cooler Master,Hyper T2,RR-HT2-28PK-R1
Arctic Cooling,Freezer 7 Pro Rev.2,Freezer 7 Pro Rev.2
Noctua,NH-U12S,NH-U12S
Cooler Master,Hyper T4,RR-T4-18PK-R1
be quiet!,Dark Rock 3,BK018
Cooler Master,GeminII M4,RR-GMM4-16PK-R2
Cooler Master,V8,RR-V8VC-16PR-R1
Noctua,NH-U9S,NH-U9S
be quiet!,PURE ROCK,BK009
Masscool,8WT15-38,8WT15-38
be quiet!,Dark Rock Advanced C1,BK014
Arctic Cooling,Alpine 11 Plus,UCACO-AP11301-BUA01
Phanteks,PH-TC12DX_BK,PH-TC12DX_BK
CRYORIG,H5 Universal,H5 Universal
Noctua,NH-U14S,NH-U14S
Arctic Cooling,ACALP64-GT,ACALP64-GT
Deepcool,GAMMAXX 400,GAMMAXX 400
Deepcool,GAMMAXX 200,GAMMAXX 200
Cooler Master,Hyper 212X,RR-212X-20PM-R1
Arctic Cooling,Alpine 11 Pro Rev. 2,ACALP11-PRO-R2
Noctua,NH-L12,NH-L12
Silverstone,AR06,AR06
RAIJINTEK,AIDOS BLACK,0R100009
Phanteks,PH-TC14PE_BK,PH-TC14PE_BK
Cooler Master,Hyper TX3 Evo,RR-TX3E-22PK-R1
Gelid Solutions,CC-Siberian-01,CC-Siberian-01
Noctua,NH-D9L,NH-D9L
Noctua,NH-D15S,NH-D15S
Thermaltake,CL-P0503,CL-P0503
Rosewill,RCX-Z775-LP,RCX-Z775-LP
Cooler Master,Hyper 103,RR-H103-22PB-R1
Noctua,NH-U9B SE2,NH-U9B SE2
be quiet!,SHADOW ROCK LP,BK002
Zalman,CNPS8900 Quiet,CNPS8900 Quiet
Cooler Master,Hyper D92,RR-HD92-28PK-R1
CRYORIG,R1 Ultimate,CR-R1A
Zalman,CNPS5X Performa,CNPS5X Performa
CRYORIG,C1,CR-C1A
Arctic Cooling,Alpine 11 GT,UCACO-AP112-GBB01
SilenX,EFZ-80HA3,EFZ-80HA3
Gelid Solutions,CC-Ssilence-AM1,CC-Ssilence-AM1
Noctua,NH-L9a,NH-L9a
