HEATSINKManufacturer,HEATSINKModel,AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+,LGA1150,LGA1151,LGA1155,LGA1156,LGA1366,LGA2011,LGA2011-3,LGA775
Cooler Master,Hyper 212 EVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooler Master,Hyper TX3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Noctua,NH-D14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Noctua,NH-D15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
CRYORIG,H7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Cooler Master,Hyper 212 Plus,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Noctua,NH-L9i,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
be quiet!,Dark Rock Pro 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooler Master,Hyper T2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Arctic Cooling,Freezer 7 Pro Rev.2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Noctua,NH-U12S,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Cooler Master,Hyper T4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
be quiet!,Dark Rock 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooler Master,GeminII M4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooler Master,V8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Noctua,NH-U9S,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
be quiet!,PURE ROCK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Masscool,8WT15-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
be quiet!,Dark Rock Advanced C1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arctic Cooling,Alpine 11 Plus,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
Phanteks,PH-TC12DX_BK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRYORIG,H5 Universal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Noctua,NH-U14S,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Arctic Cooling,ACALP64-GT,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Deepcool,GAMMAXX 400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deepcool,GAMMAXX 200,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Cooler Master,Hyper 212X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arctic Cooling,Alpine 11 Pro Rev. 2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
Noctua,NH-L12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Silverstone,AR06,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
RAIJINTEK,AIDOS BLACK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phanteks,PH-TC14PE_BK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooler Master,Hyper TX3 Evo,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Gelid Solutions,CC-Siberian-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Noctua,NH-D9L,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Noctua,NH-D15S,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Thermaltake,CL-P0503,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Rosewill,RCX-Z775-LP,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
Cooler Master,Hyper 103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Noctua,NH-U9B SE2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
be quiet!,SHADOW ROCK LP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zalman,CNPS8900 Quiet,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Cooler Master,Hyper D92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRYORIG,R1 Ultimate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zalman,CNPS5X Performa,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
CRYORIG,C1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arctic Cooling,Alpine 11 GT,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
SilenX,EFZ-80HA3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Gelid Solutions,CC-Ssilence-AM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctua,NH-L9a,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
