Manufacturer,PartNum,FormFactor,CPUSocket,Chipset,MemorySlots,MemoryType,MaxMemory,RAIDSupport,OnboardVideo,CrossFireSupport,SLISupport,SATA6Gb/s,SATAExpress,OnboardEthernet,OnboardUSB3.0Header(s)
Asus,Z170-A,ATX,LGA1151,Intel Z170,288-pin DIMM,DDR4,64,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
Asus,Z97-A,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
Asus,MAXIMUS VIII HERO,ATX,LGA1151,Intel Z170,288-pin DIMM,DDR4,64,Yes,Depends on CPU,Yes,Yes,4,2,1 x 10/100/1000 Mbps,Yes
Gigabyte,GA-H170N-WIFI,Mini ITX,LGA1151,Intel H170,288-pin DIMM,DDR4,32,Yes,Depends on CPU,No,No,2,2,1 x 10/100/1000 Mbps,Yes
MSI,X99S SLI Plus,ATX,LGA2011-3,Intel X99,288-pin DIMM,DDR4,128,Yes,No,Yes,3-way SLI,8,1,1 x 10/100/1000 Mbps,Yes
Gigabyte,GA-Z97X-UD3H-BK,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
Gigabyte,GA-Z97X-UD3H-BK,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
ASRock,Z97 PRO4,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,No,4,1,1 x 10/100/1000 Mbps,Yes
MSI,Z97SSLIKrait Edition,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
MSI,B150M BAZOOKA,Micro ATX,LGA1151,Intel B150,288-pin DIMM,DDR4,64,No,Depends on CPU,No,No,4,1,1 x 10/100/1000 Mbps,Yes
MSI,B150M MORTAR,Micro ATX,LGA1151,Intel B150,288-pin DIMM,DDR4,64,No,Depends on CPU,Yes,No,4,1,1 x 10/100/1000 Mbps,Yes
Gigabyte,GA-Z97X-SLI,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
Gigabyte,GA-H170M-D3H,Micro ATX,LGA1151,Intel H170,288-pin DIMM,DDR4,64,Yes,Depends on CPU,Yes,No,2,2,1 x 10/100/1000 Mbps,Yes
Foxconn,H97M Plus,Micro ATX,LGA1150,Intel H97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,No,4,1,1 x 10/100/1000 Mbps,Yes
Gigabyte,GA-H97-D3H,ATX,LGA1150,Intel H97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,No,4,1,1 x 10/100/1000 Mbps,Yes
ASRock,H170 Pro4S,ATX,LGA1151,Intel H170,288-pin DIMM,DDR4,64,Yes,Depends on CPU,No,No,4,1,1 x 10/100/1000 Mbps,Yes
ASRock,Fatal1ty H97 Killer,ATX,LGA1150,Intel H97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,No,4,1,1 x 10/100/1000 Mbps,Yes
MSI,H170A PC Mate,ATX,LGA1151,Intel H170,288-pin DIMM,DDR4,64,No,Depends on CPU,Yes,No,4,1,1 x 10/100/1000 Mbps,Yes
ASRock,H170 Pro4,ATX,LGA1151,Intel H170,288-pin DIMM,DDR4,64,Yes,Depends on CPU,No,No,4,1,1 x 10/100/1000 Mbps,Yes
Asus,Z97-E,ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
ASRock,Z97M OC Formula,Micro ATX,LGA1150,Intel Z97,240-pin DIMM,DDR3,32,Yes,Depends on CPU,Yes,Yes,4,1,1 x 10/100/1000 Mbps,Yes
Asus,H170I-PLUS D3,Mini ITX,LGA1151,Intel H170,240-pin DIMM,DDR3,32,Yes,Depends on CPU,No,No,2,1,1 x 10/100/1000 Mbps,Yes
