Manufacturer,Model,PartNum,Type,Wattage,Fans,Modular,EfficiencyCertification
Corsair,CX600M,CX600M,ATX12V,600 Watts,1,Semi,80+ Bronze
EVGA,SuperNOVA 650,120-G1-0650-XR,ATX12V / EPS12V,650 Watts,1,Full,80+ Gold
Corsair,CX500M,CX500M,ATX12V,500 Watts,1,Semi,80+ Bronze
EVGA,SuperNOVA 750,220-G2-0750-XR,ATX12V / EPS12V,750 Watts,1,Full,80+ Gold
EVGA,100-W1,100-W1-0500-KR,ATX12V / EPS12V,500 Watts,1,No,80+
Corsair,CX430M,CX430M,ATX12V,430 Watts,1,Semi,80+ Bronze
Corsair,CX750M,CX750M,ATX12V,750 Watts,1,Semi,80+ Bronze
EVGA,500B,100-B1-0500-KR,ATX12V / EPS12V,500 Watts,1,No,80+ Bronze
EVGA,SuperNOVA 550,220-GS-0550-V1,ATX12V / EPS12V,550 Watts,1,Full,80+ Gold
Corsair,AX1500i,CP-9020057-NA,ATX12V / EPS12V,1500 Watts,1,Full,80+ Titanium
Corsair,CX430,CX430,ATX12V,430 Watts,1,No,80+ Bronze
EVGA,SuperNOVA 750,120-G1-0750-XR,ATX12V / EPS12V,750 Watts,1,Full,80+ Gold
EVGA,100-W1-0430-KR,100-W1-0430-KR,ATX12V / EPS12V,430 Watts,1,No,80+
EVGA,SuperNOVA 650,220-GS-0650-V1,ATX12V / EPS12V,650 Watts,1,Full,80+ Gold
EVGA,600B,100-B1-0600-KR,ATX12V / EPS12V,600 Watts,1,No,80+ Bronze
Corsair,RM750,RM750,ATX12V / EPS12V,750 Watts,1,Full,80+ Gold
Corsair,CX500,CX500,ATX12V,500 Watts,1,No,80+ Bronze
EVGA,SuperNOVA 1600,220-T2-1600-X1,ATX12V / EPS12V,1600 Watts,1,Full,80+ Titanium
EVGA,SuperNOVA 650,220-G2-0650-Y1,ATX,650 Watts,1,Full,80+ Gold
EVGA,SuperNOVA 1000,220-P2-1000-XR,ATX12V / EPS12V,1000 Watts,1,Full,80+ Platinum
Corsair,AX760,AX760,ATX12V / EPS12V,760 Watts,1,Full,80+ Platinum
Corsair,RM850,RM850,ATX12V / EPS12V,850 Watts,1,Full,80+ Gold
Corsair,CS450M,CS450M,ATX12V / EPS12V,450 Watts,1,Semi,80+ Gold
Corsair,RM650,RM650,ATX12V / EPS12V,650 Watts,1,Full,80+ Gold
Corsair,CX600,CX600,ATX12V,600 Watts,1,No,80+ Bronze
Corsair,RM1000,RM1000,ATX12V / EPS12V,1000 Watts,1,Full,80+ Gold
EVGA,SuperNOVA NEX750B,110-B1-0750-VR,ATX12V / EPS12V,750 Watts,1,Semi,80+ Bronze
EVGA,SuperNOVA 550,220-G2-0550-Y1,ATX,550 Watts,1,Full,80+ Gold
Silverstone,SST-SX500-LG,SST-SX500-LG,SFX12V,500 Watts,1,Full,80+ Gold
XFX,P1-550S,P1-550S-XXB9,ATX12V / EPS12V,550 Watts,1,No,80+ Bronze
Corsair,AX1200i,AX1200i,ATX12V / EPS12V,1200 Watts,1,Full,80+ Platinum
Corsair,HX750i,CP-9020072,ATX12V / EPS12V,750 Watts,1,Full,80+ Platinum
Logisys,PS480,PS480D-BK,ATX12V,480 Watts,1,No,80+ Gold
EVGA,100-N1,100-N1-0400-L1,ATX,400 Watts,1,No,80+ Gold
Silverstone,SX600-G,SST-SX600-G,SFX12V,600 Watts,1,Full,80+ Gold
Corsair,HX1000i,CP-9020074,ATX12V / EPS12V,1000 Watts,1,Full,80+ Platinum
EVGA,SuperNOVA 850,220-P2-0850-X1,ATX12V / EPS12V,850 Watts,1,Full,80+ Platinum
Corsair,CS550M,CS550M,ATX12V / EPS12V,550 Watts,1,Semi,80+ Gold
Silverstone,ST45SF-G,ST45SF-G,SFX12V,450 Watts,1,Full,80+ Gold
Corsair,HX850i,CP-9020073,ATX12V / EPS12V,850 Watts,1,Full,80+ Platinum
Cooler Master,RS550,RS550-AMAAG1-S1,ATX,550 Watts,1,Semi,80+ Gold
Corsair,AX860i,AX860i,ATX12V / EPS12V,860 Watts,1,Full,80+ Platinum
SeaSonic,S12II 620 Bronze,S12II 620 Bronze,ATX12V / EPS12V,620 Watts,1,No,80+ Bronze
EVGA,SuperNOVA 1000,120-G2-1000-XR,ATX12V / EPS12V,1000 Watts,1,Full,80+ Gold
SeaSonic,S12II 520 Bronze,S12II 520 Bronze,ATX12V / EPS12V,520 Watts,1,No,80+ Bronze
SeaSonic,SSR-550RM,SSR-550RM,ATX12V / EPS12V,550 Watts,1,Semi,80+ Gold
Corsair,AX860,AX860,ATX12V / EPS12V,860 Watts,1,Full,80+ Platinum
Cooler Master,RS-650,RS-650-AMAA-G1,ATX,650 Watts,1,Semi,80+ Gold
EVGA,SuperNOVA 1250,110-B2-1250-V1,ATX12V / EPS12V,1250 Watts,1,Semi,80+ Bronze
EVGA,SuperNOVA 1300,120-G2-1300-XR,ATX12V / EPS12V,1300 Watts,1,Full,80+ Gold
Corsair,RM550,RM550,ATX12V / EPS12V,550 Watts,1,Full,80+ Gold
Silverstone,SST-ST30SF,ST30SF,SFX12V,300 Watts,1,No,80+ Bronze
Thermaltake,TR-500,TR-500,ATX12V,500 Watts,1,No,80+ Bronze
